ID,ADDRESS,CITY,STATE,ZIP,COUNTRYCODE,Longitude,Latitude,Match Score
MadisonFB,2802 Dairy Dr,MADISON,WI,53718-6751,USA,-89.29507856,43.05831286,100
Manteca,704 Industrial Park Dr,MANTECA,CA,95337-6116,USA,-121.2072627,37.78492486,100
McAllen,"2601 Zinnia, PO Box 6251",MCALLEN,TX,,USA,-98.24327581,26.25253276,96.72
Memphis,239 S Dudley St,MEMPHIS,TN,38104-3203,USA,-90.02963355,35.13579312,100
MemphisZD,239 S. Dudley St.,MEMPHIS,TN,,USA,-90.02963355,35.13579312,100
Miami,5850 NW 32nd Ave.,MIAMI,FL,,USA,-80.24915901,25.82793052,100
Millwood,"358 Saw Mill River Rd., 2nd Floor",MILLWOOD,NY,,USA,-73.79597791,41.19402469,100
MilwaukeeZC,1700 W. Fond Du Lac Ave.,MILWAUKEE,WI,,USA,-87.93409301,43.05716758,100
Mineola,199 Second St.,MINEOLA,NY,,USA,-73.63989566,40.74157289,100
Missoula,5625 Expressway,MISSOULA,MT,59808-9071,USA,-114.0747242,46.92183137,100
MolineZD,309  12th St.,MOLINE,IL,,USA,-90.52124599,41.50633322,100
Monroe,4600 Central Ave,MONROE,LA,71211-5048,USA,-92.06104019,32.5126066,97.1
Montgomery,521 Trade Center St,MONTGOMERY,AL,36108-2107,USA,-86.34575799,32.37161513,100
Nashville,331 Great Circle Rd,NASHVILLE,TN,37228-1703,USA,-86.7944514,36.19823771,100
NeptuneFRO,3300 State Route 66,NEPTUNE,NJ,07753-2706,USA,-74.06235201,40.22975922,100
Newark,222 Lake Drive,NEWARK,DE,19702,USA,-75.75348408,39.61346909,100
NewarkZD,14 Garfield Way,NEWARK,DE,,USA,-75.72468875,39.65419793,100
NewOrleans,700 Edwards Ave,NEWORLEANS,LA,70123-3121,USA,-90.19185016,29.95217811,99
NewOrleansZD,1201 Sams Ave.,NEWORLEANS,LA,,USA,-90.19671969,29.9564595,99
NewportNews,9912 Hosier St.,NEWPORTNEWS,VA,,USA,-76.45590404,37.0282751,99
NewYork,6 E 32nd St Fl 5,NEWYORK,NY,10016-5422,USA,-73.98478052,40.74682278,99
NorfolkFB,800 Tidewater Dr.,NORFOLK,VA,23501-1940,USA,-76.27526022,36.85242632,98.27
NorfolkZC,800 Tidewater Dr.,NORFOLK,VA,,USA,-76.27526022,36.85242632,100
Oakland,7900 Edgewater Dr,OAKLAND,CA,94621-2004,USA,-122.2021753,37.74102719,100
Odessa,411 S Pagewood Ave,ODESSA,TX,79760-4242,USA,-102.3240921,31.86230988,97.19
OklahomaCity,3355 S. Purdue,OKLAHOMACITY,OK,73179,USA,-97.61365424,35.43063359,97.84
OklahomaCityZD,3355 S. Purdue,OKLAHOMACITY,OK,,USA,-97.61365424,35.43063359,97.71
Omaha,10525 J St,OMAHA,NE,68127-1021,USA,-96.077448,41.21421552,100
Orange,426-A W. Almond St.,ORANGE,CA,,USA,-117.857151,33.78601048,97.39
Orlando,411 Mercy Dr,ORLANDO,FL,32805-1019,USA,-81.4302281,28.54753362,100
Oxnard,4156 Southbank Rd,OXNARD,CA,93036-1002,USA,-119.1620245,34.25565699,100
OxnardZD,4156 N. Southbank Rd.,OXNARD,CA,,USA,-119.1620245,34.25565699,98.75
Pennsauken,1501 John Tipton Blvd,PENNSAUKEN,NJ,08110-2303,USA,-75.0399458,39.9817549,100
Peoria,721 W. McBean,PEORIA,IL,,USA,-89.60411129,40.6856857,98.71
PhiladelphiaFRO,3616 S Galloway St,PHILADELPHIA,PA,19148-5402,USA,-75.15639608,39.90281107,100
PhiladelphiaFROZC,3616 S Galloway St,PHILADELPHIA,PA,19148-5402,USA,-75.15639608,39.90281107,100
PhoenixZD,2831 N. 31st Ave.,PHOENIX,AZ,85009,USA,-112.1256871,33.479082,100
Pittsburgh,1 N Linden St,DUQUESNE,PA,15110-1097,USA,-79.84316305,40.37535737,100
Portland,7900 NE 33rd Dr,PORTLAND,OR,97211-1918,USA,-122.6333037,45.57998092,100
PortlandORFRO,8101 SE Cornwell St,PORTLAND,OR,97206,USA,-122.580081,45.46023847,100
Raleigh,1924 Capital Blvd,RALEIGH,NC,27604,USA,-78.61676672,35.80537562,100
RaleighFRO,1001 Blair Drive,RALEIGH,NC,27620,USA,-78.66794455,35.77000562,98.21
Reading,117 Morgan Dr,READING,PA,19608-1755,USA,-75.99317161,40.31195767,100
Richmond,1415 Rhoadmiller St,RICHMOND,VA,23220-1111,USA,-77.45582875,37.56688954,100
Riverside,2950 Jefferson St B,RIVERSIDE,CA,92504-4360,USA,-117.4076131,33.92584166,99.72
RiversideZC,2950-B Jefferson St.,RIVERSIDE,CA,,USA,-117.4076131,33.92584166,98.63
RochesterNY,1999 Mount Read Blvd,ROCHESTER,NY,14615-3700,USA,-77.65987971,43.19218793,100
SaltLakeCity,1025 S. 700 West,SALTLAKECITY,UT,,USA,-111.9110452,40.74689619,99
SanAntonio,5200 Enrique M Barrera Pkwy,SANANTONIO,TX,78227-2209,USA,-98.59238017,29.41834414,99.99
SanAntonioZD,5200 Old Highway 90 West,SANANTONIO,TX,,USA,-98.59238017,29.41834414,99.99
SanDiego,9455 Waples St Ste 135,SANDIEGO,CA,92121-3916,USA,-117.1834417,32.90237711,99
SanFrancisco,900 Pennsylvania Ave,SANFRANCISCO,CA,94107-3446,USA,-122.3929254,37.75498787,99
SanFranciscoZC,900 Pennsylvania Ave.,SANFRANCISCO,CA,,USA,-122.3929254,37.75498787,99
SanJoseZC,750 Curtner Ave.,SANJOSE,CA,,USA,-121.8770997,37.29253453,99
SantaBarbara,4554 Hollister Ave,SANTABARBARA,CA,93110-1710,USA,-119.7773526,34.43885827,99
SantaRosa,3990 Brickway Blvd,SANTAROSA,CA,95403-1070,USA,-122.7933249,38.51392444,99
Sarasota,8171 Blaikie Ct,SARASOTA,FL,34240-8321,USA,-82.40196986,27.34691853,100
Savannah,2501 E President St,SAVANNAH,GA,31404-1101,USA,-81.04527593,32.06682017,100
Seattle,815 S 96th St,SEATTLE,WA,98108-4934,USA,-122.3224596,47.51707555,100
Shreveport,2307 Texas Ave,SHREVEPORT,LA,71103-3621,USA,-93.76710728,32.48898955,100
Shrewsbury,474 Boston Tpke,SHREWSBURY,MA,01545-3948,USA,-71.721281,42.27642548,100
ShrewsburyZD,474 Boston Turnpike,SHREWSBURY,MA,,USA,-71.721281,42.27642548,100
Sikeston,600 State Highway H,SIKESTON,MO,63801-5352,USA,-89.53809361,36.90678447,100
SiouxFalls,4701 N Westport Ave,SIOUXFALLS,SD,57107-0123,USA,-96.7626405,43.597899,99
SouthBarre,"698 S. Barre Rd., PO Box 254",SOUTHBARRE,VT,,USA,-72.51056532,44.16651907,95
SouthBend,702 Chapin St,SOUTHBEND,IN,46601-2804,USA,-86.26121875,41.66769703,99
SouthfieldFRO,"21455 Melrose Ave., Suite 9",SOUTHFIELD,MI,,USA,-83.25368873,42.44789656,100
Sparks,994 Packer Way,SPARKS,NV,,USA,-119.7307668,39.52463245,100
Spokane,1234 E Front Ave,SPOKANE,WA,99202-2148,USA,-117.3903276,47.66079687,100
SpokaneZD,1234 E. Front Ave.,SPOKANE,WA,,USA,-117.3903276,47.66079687,100
Springfield,701 E Columbia St,SPRINGFIELD,OH,45503-4404,USA,-83.79861341,39.9251215,100
SpringfieldIL,1937 E. Cook,SPRINGFIELD,IL,62703,USA,-89.62786839,39.79463847,98.84
SpringfieldMO,2810 N. Cedarbrook Ave,SPRINGFIELD,MO,65803,USA,-93.23672647,37.2460498,100
StCharles,600 Industrial Dr.,STCHARLES,IL,,USA,-88.28644531,41.91551883,99.99
StCharlesZD,600 Industrial Dr.,STCHARLES,IL,,USA,-88.28644531,41.91551883,99.99
StJoseph,915 Douglas,STJOSEPH,MO,,USA,-94.84856372,39.78253877,98.64
StLouis,70 Corporate Woods Dr,BRIDGETON,MO,63044-3806,USA,-90.46160623,38.78365292,100
Tallahassee,4446 Entrepot Blvd,TALLAHASSEE,FL,32310-8740,USA,-84.32465088,30.40091156,100
Tampa,4702 Transport Dr Bldg 6,TAMPA,FL,33605-5940,USA,-82.40586919,27.95768555,100
TerreHaute,1356 Locust St,TERREHAUTE,IN,47807-1640,USA,-87.39570133,39.47757148,99
TexarkanaFRO,3120 E 19th St,TEXARKANA,AR,71854-4834,USA,-94.00898958,33.4405605,100
Theodore,5248 Mobile South St,THEODORE,AL,36582-1604,USA,-88.16281208,30.58055045,100
Toledo,24 E Woodruff Ave,TOLEDO,OH,43604-5263,USA,-83.54427895,41.66051048,100
Tulsa,1304 N Kenosha Ave,TULSA,OK,74106-5940,USA,-95.98227607,36.17390628,100
TulsaZC,1304 N. Kenosha Ave,TULSA,OK,,USA,-95.98227607,36.17390628,100
Tyler,3201 Robertson Rd,TYLER,TX,75701-2532,USA,-95.33457908,32.3329935,100
TylerZD,3201 Robertson Rd.,TYLER,TX,,USA,-95.33457908,32.3329935,100
Urbana,2405 N Shore Dr,URBANA,IL,61802-7221,USA,-88.22219543,40.13844123,100
Valdosta,1411 Harbin Cir,VALDOSTA,GA,31601-6535,USA,-83.28701897,30.80565552,100
Verona,96 Laurel Hill Rd,VERONA,VA,24482-2658,USA,-79.00614744,38.20046434,100
VisaliaFB,611 2nd St,Exeter,CA,93221,USA,-119.1306644,36.29025,100
Washington,4900 Puerto Rico Ave NE,WASHINGTON,DC,20017-2313,USA,-76.9994595,38.947311,100
Waterloo,1605 Lafayette Street,WATERLOO,IA,50703,USA,-92.32208348,42.49286399,100
WaterlooZD,106 E. 11th St.,WATERLOO,IA,,USA,-92.3289191,42.4931335,100
Watsonville,800 Ohlone Pkwy,WATSONVILLE,CA,95076-7005,USA,-121.7726493,36.90282837,100
Wichita,1919 E Douglas Ave,WICHITA,KS,67211-1627,USA,-97.31446094,37.68610911,100
WichitaFalls,1230 Midwestern Pkwy,WICHITAFALLS,TX,76302-1743,USA,-98.48735935,33.87700639,99
WilkesBarre,"165 Amber Lane, Po Box 1127",WILKESBARRE,PA,,USA,-75.87277073,41.23785084,97.99
WinstonSalem,3655 Reed St,WINSTONSALEM,NC,27107-5428,USA,-80.21023657,36.05274322,99.99
Youngstown,2805 Salt Springs Rd,YOUNGSTOWN,OH,44509-1037,USA,-80.70553876,41.12947498,100
Yuma,2404 E 24th St Ste A,YUMA,AZ,85365-2636,USA,-114.5925198,32.68420048,100
Dallas,4500 S Cockrell Hill Rd,DALLAS,TX,,USA,-96.89135885,32.68843301,100
Erie,1507 Grimm Dr,ERIE,PA,16501-1580,USA,-80.11273941,42.11010577,100
FtMyers,3760 Fowler St,FTMYERS,FL,33901-0930,USA,-81.86181976,26.60722256,99
FtWayne,999 E Tillman Rd,FTWAYNE,IN,46816-1973,USA,-85.12185053,41.01721846,99
FtWorth,2600 Cullen St,FTWORTH,TX,76107-1302,USA,-97.35303527,32.76154546,99
Moline,309 12th St.,MOLINE,IL,,USA,-90.52124599,41.50633322,100
Providence,200 Niantic Ave,PROVIDENCE,RI,02907-3150,USA,-71.43930816,41.79756377,100
RichmondZD,1415 Rhoadmiller St.,RICHMOND,VA,,USA,-77.45582875,37.56688954,100
